C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_dragonkin.py:56: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat = bpy.data.materials.new('M_' + UID); mat.use_nodes = True
02:02.797  render           | Video append frame 10
02:02.813  render           | Video append frame 11
02:02.828  render           | Video append frame 12
02:02.844  render           | Video append frame 13
02:02.875  render           | Video append frame 14
02:02.891  render           | Video append frame 15
02:02.907  render           | Video append frame 16
02:02.938  render           | Video append frame 17
02:02.953  render           | Video append frame 18
02:02.969  render           | Video append frame 19
02:02.985  render           | Video append frame 20
02:03.016  render           | Video append frame 21
02:03.032  render           | Video append frame 22
02:03.047  render           | Video append frame 23
02:03.078  render           | Video append frame 24
02:03.094  render           | Video append frame 25
02:03.125  render           | Video append frame 1
02:03.157  render           | Video append frame 2
02:03.172  render           | Video append frame 3
02:03.188  render           | Video append frame 4
02:03.219  render           | Video append frame 5
02:03.235  render           | Video append frame 6
02:03.250  render           | Video append frame 7
02:03.282  render           | Video append frame 8
02:03.297  render           | Video append frame 9
02:03.313  render           | Video append frame 10
02:03.344  render           | Video append frame 11
02:03.360  render           | Video append frame 12
02:03.375  render           | Video append frame 13
02:03.407  render           | Video append frame 14
02:03.422  render           | Video append frame 15
02:03.438  render           | Video append frame 16
02:03.469  render           | Video append frame 17
02:03.485  render           | Video append frame 18
02:03.500  render           | Video append frame 19
02:03.516  render           | Video append frame 20
02:03.547  render           | Video append frame 21
02:03.563  render           | Video append frame 22
02:03.594  render           | Video append frame 23
02:03.610  render           | Video append frame 24
02:03.641  render           | Video append frame 25
02:03.657  render           | Video append frame 26
02:03.688  render           | Video append frame 27
02:03.703  render           | Video append frame 28
02:03.735  render           | Video append frame 29
02:03.750  render           | Video append frame 30
02:03.766  render           | Video append frame 31
02:03.797  render           | Video append frame 32
02:03.828  render           | Video append frame 33
02:03.844  render           | Video append frame 34
02:03.875  render           | Video append frame 35
02:03.907  render           | Video append frame 36
02:03.922  render           | Video append frame 37
02:03.953  render           | Video append frame 38
02:03.985  render           | Video append frame 39
02:04.000  render           | Video append frame 40
02:04.032  render           | Video append frame 41
02:04.063  render           | Video append frame 42
02:04.078  render           | Video append frame 43
02:04.110  render           | Video append frame 44
02:04.141  render           | Video append frame 45
02:04.172  render           | Video append frame 46
