        1.0
      ],
      "dimensions": [
        1.1224353313446045,
        0.688032865524292,
        1.057875156402588
      ],
      "evaluated_triangles": 1056,
      "material_slots": 1,
      "uv_layers": 1,
      "skin_checks": {
        "unweighted": 0,
        "excess_influences": 0,
        "unnormalized": 0
      }
    }
  ],
  "errors": [],
  "warnings": [],
  "not_checked": [
    "appearance",
    "deformation across all clips",
    "UV overlap appropriateness",
    "normal-map convention",
    "Unreal import",
    "LOD silhouette",
    "gameplay readability"
  ]
}
WC_NEUTRAL_AUTHORED wc_n_sprout {"triangles": 1056, "clips": 5, "report": "C:\\Users\\iputu\\Documents\\Wonder Chess\\reports\\WC-U440\\20260906T133019Z\\neutrals\\wc_n_sprout"}
00:40.703  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\exports\neutrals\wc_n_thorn\portrait.png'
00:45.031  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T133019Z\neutrals\wc_n_thorn\front.png'
00:48.875  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T133019Z\neutrals\wc_n_thorn\side.png'
00:51.875  render           | Saved: 'C:\Users\iputu\Documents\Wonder Chess\reports\WC-U440\20260906T133019Z\neutrals\wc_n_thorn\back.png'
00:52.078  render           | Video append frame 1
00:52.125  render           | Video append frame 2
00:52.218  render           | Video append frame 3
00:52.265  render           | Video append frame 4
00:52.296  render           | Video append frame 5
00:52.343  render           | Video append frame 6
00:52.375  render           | Video append frame 7
00:52.406  render           | Video append frame 8
00:52.437  render           | Video append frame 9
00:52.468  render           | Video append frame 10
00:52.500  render           | Video append frame 11
00:52.515  render           | Video append frame 12
00:52.546  render           | Video append frame 13
00:52.562  render           | Video append frame 14
00:52.593  render           | Video append frame 15
00:52.625  render           | Video append frame 16
00:52.640  render           | Video append frame 17
00:52.671  render           | Video append frame 18
00:52.703  render           | Video append frame 19
00:52.734  render           | Video append frame 20
00:52.750  render           | Video append frame 21
00:52.781  render           | Video append frame 22
00:52.812  render           | Video append frame 23
00:52.843  render           | Video append frame 24
00:52.875  render           | Video append frame 25
00:52.890  render           | Video append frame 26
00:52.921  render           | Video append frame 27
00:52.937  render           | Video append frame 28
00:52.968  render           | Video append frame 29
00:53.000  render           | Video append frame 30
00:53.015  render           | Video append frame 31
00:53.046  render           | Video append frame 32
00:53.078  render           | Video append frame 33
00:53.109  render           | Video append frame 34
00:53.140  render           | Video append frame 35
00:53.171  render           | Video append frame 36
00:53.203  render           | Video append frame 37
00:53.250  render           | Video append frame 38
00:53.265  render           | Video append frame 39
00:53.296  render           | Video append frame 40
00:53.328  render           | Video append frame 41
00:53.343  render           | Video append frame 42
00:53.359  render           | Video append frame 43
00:53.390  render           | Video append frame 44
00:53.406  render           | Video append frame 45
00:53.437  render           | Video append frame 46
00:53.468  render           | Video append frame 47
00:53.484  render           | Video append frame 48
00:53.515  render           | Video append frame 49
00:53.531  render           | Video append frame 50
00:53.562  render           | Video append frame 51
00:53.593  render           | Video append frame 52
00:53.625  render           | Video append frame 53
00:53.656  render           | Video append frame 54
00:53.671  render           | Video append frame 55
00:53.703  render           | Video append frame 56
00:53.718  render           | Video append frame 57
00:53.734  render           | Video append frame 58
00:53.765  render           | Video append frame 59
00:53.781  render           | Video append frame 60
00:53.812  render           | Video append frame 61
00:53.828  render           | Video append frame 62
00:53.859  render           | Video append frame 63
00:53.875  render           | Video append frame 64
00:53.906  render           | Video append frame 65
00:53.921  render           | Video append frame 66
00:53.953  render           | Video append frame 67
00:53.984  render           | Video append frame 68
00:54.000  render           | Video append frame 69
00:54.031  render           | Video append frame 70
00:54.046  render           | Video append frame 71
00:54.078  render           | Video append frame 72
00:54.093  render           | Video append frame 73
00:54.125  render           | Video append frame 74
00:54.140  render           | Video append frame 75
00:54.171  render           | Video append frame 76
00:54.187  render           | Video append frame 77
00:54.203  render           | Video append frame 78
00:54.234  render           | Video append frame 79
00:54.250  render           | Video append frame 80
00:54.265  render           | Video append frame 81
00:54.296  render           | Video append frame 82
00:54.328  render           | Video append frame 83
00:54.343  render           | Video append frame 84
00:54.359  render           | Video append frame 85
00:54.390  render           | Video append frame 86
00:54.406  render           | Video append frame 87
00:54.437  render           | Video append frame 88
00:54.453  render           | Video append frame 89
00:54.468  render           | Video append frame 90
00:54.500  render           | Video append frame 91
00:54.515  render           | Video append frame 92
00:54.546  render           | Video append frame 93
00:54.562  render           | Video append frame 94
00:54.578  render           | Video append frame 95
00:54.609  render           | Video append frame 96
00:54.625  render           | Video append frame 97
00:54.640  render           | Video append frame 98
00:54.671  render           | Video append frame 99
00:54.687  render           | Video append frame 100
00:54.703  render           | Video append frame 101
00:54.734  render           | Video append frame 102
00:54.750  render           | Video append frame 103
00:54.765  render           | Video append frame 104
00:54.796  render           | Video append frame 105
00:54.812  render           | Video append frame 106
00:54.828  render           | Video append frame 107
00:54.859  render           | Video append frame 108
00:54.875  render           | Video append frame 109
00:54.890  render           | Video append frame 110
00:54.921  render           | Video append frame 111
00:54.937  render           | Video append frame 112
00:54.953  render           | Video append frame 113
00:54.968  render           | Video append frame 114
00:55.000  render           | Video append frame 115
00:55.015  render           | Video append frame 116
00:55.031  render           | Video append frame 117
00:55.062  render           | Video append frame 118
00:55.078  render           | Video append frame 119
00:55.093  render           | Video append frame 120
00:55.109  render           | Video append frame 121
00:55.156  render           | Video append frame 1
00:55.171  render           | Video append frame 2
00:55.187  render           | Video append frame 3
00:55.218  render           | Video append frame 4
00:55.234  render           | Video append frame 5
00:55.250  render           | Video append frame 6
00:55.265  render           | Video append frame 7
00:55.296  render           | Video append frame 8
00:55.312  render           | Video append frame 9
00:55.328  render           | Video append frame 10
00:55.359  render           | Video append frame 11
00:55.375  render           | Video append frame 12
00:55.390  render           | Video append frame 13
00:55.406  render           | Video append frame 14
00:55.437  render           | Video append frame 15
00:55.453  render           | Video append frame 16
00:55.468  render           | Video append frame 17
00:55.500  render           | Video append frame 18
00:55.515  render           | Video append frame 19
00:55.531  render           | Video append frame 20
00:55.562  render           | Video append frame 21
00:55.578  render           | Video append frame 22
00:55.593  render           | Video append frame 23
00:55.625  render           | Video append frame 24
00:55.640  render           | Video append frame 25
00:55.656  render           | Video append frame 26
00:55.687  render           | Video append frame 27
00:55.703  render           | Video append frame 28
00:55.734  render           | Video append frame 29
00:55.750  render           | Video append frame 30
00:55.781  render           | Video append frame 31
00:55.796  render           | Video append frame 32
00:55.812  render           | Video append frame 33
00:55.843  render           | Video append frame 34
00:55.859  render           | Video append frame 35
00:55.875  render           | Video append frame 36
00:55.890  render           | Video append frame 37
00:55.921  render           | Video append frame 38
00:55.937  render           | Video append frame 39
00:55.968  render           | Video append frame 40
00:55.984  render           | Video append frame 41
00:56.000  render           | Video append frame 42
00:56.031  render           | Video append frame 43
00:56.046  render           | Video append frame 44
00:56.062  render           | Video append frame 45
00:56.093  render           | Video append frame 46
00:56.109  render           | Video append frame 47
00:56.125  render           | Video append frame 48
00:56.140  render           | Video append frame 49
00:56.187  render           | Video append frame 50
00:56.218  render           | Video append frame 51
00:56.234  render           | Video append frame 52
00:56.265  render           | Video append frame 53
00:56.281  render           | Video append frame 54
00:56.312  render           | Video append frame 55
00:56.328  render           | Video append frame 56
00:56.359  render           | Video append frame 57
00:56.375  render           | Video append frame 58
00:56.390  render           | Video append frame 59
00:56.421  render           | Video append frame 60
00:56.437  render           | Video append frame 61
00:56.484  render           | Video append frame 1
00:56.500  render           | Video append frame 2
00:56.531  render           | Video append frame 3
00:56.546  render           | Video append frame 4
00:56.578  render           | Video append frame 5
00:56.593  render           | Video append frame 6
00:56.609  render           | Video append frame 7
00:56.640  render           | Video append frame 8
00:56.656  render           | Video append frame 9
00:56.671  render           | Video append frame 10
00:56.703  render           | Video append frame 11
00:56.718  render           | Video append frame 12
00:56.750  render           | Video append frame 13
00:56.765  render           | Video append frame 14
00:56.781  render           | Video append frame 15
00:56.796  render           | Video append frame 16
00:56.812  render           | Video append frame 17
00:56.843  render           | Video append frame 18
00:56.859  render           | Video append frame 19
00:56.875  render           | Video append frame 20
00:56.890  render           | Video append frame 21
00:56.921  render           | Video append frame 22
00:56.937  render           | Video append frame 23
00:56.953  render           | Video append frame 24
00:56.984  render           | Video append frame 25
00:57.000  render           | Video append frame 26
00:57.015  render           | Video append frame 27
00:57.046  render           | Video append frame 28
00:57.062  render           | Video append frame 29
00:57.078  render           | Video append frame 30
00:57.093  render           | Video append frame 31
00:57.125  render           | Video append frame 32
00:57.140  render           | Video append frame 33
00:57.156  render           | Video append frame 34
00:57.171  render           | Video append frame 35
00:57.203  render           | Video append frame 36
00:57.218  render           | Video append frame 37
00:57.234  render           | Video append frame 38
00:57.250  render           | Video append frame 39
00:57.281  render           | Video append frame 40
00:57.296  render           | Video append frame 41
00:57.312  render           | Video append frame 42
00:57.328  render           | Video append frame 43
00:57.359  render           | Video append frame 44
00:57.375  render           | Video append frame 45
00:57.390  render           | Video append frame 46
00:57.421  render           | Video append frame 1
00:57.437  render           | Video append frame 2
00:57.468  render           | Video append frame 3
00:57.484  render           | Video append frame 4
00:57.500  render           | Video append frame 5
00:57.515  render           | Video append frame 6
00:57.531  render           | Video append frame 7
00:57.546  render           | Video append frame 8
00:57.578  render           | Video append frame 9
00:57.593  render           | Video append frame 10
00:57.609  render           | Video append frame 11
00:57.625  render           | Video append frame 12
00:57.656  render           | Video append frame 13
00:57.671  render           | Video append frame 14
00:57.687  render           | Video append frame 15
00:57.703  render           | Video append frame 16
00:57.734  render           | Video append frame 17
00:57.750  render           | Video append frame 18
00:57.765  render           | Video append frame 19
00:57.781  render           | Video append frame 20
00:57.796  render           | Video append frame 21
00:57.828  render           | Video append frame 22
00:57.843  render           | Video append frame 23
00:57.875  render           | Video append frame 24
00:57.921  render           | Video append frame 25
00:57.953  render           | Video append frame 1
00:57.984  render           | Video append frame 2
00:58.000  render           | Video append frame 3
00:58.031  render           | Video append frame 4
00:58.046  render           | Video append frame 5
00:58.078  render           | Video append frame 6
00:58.093  render           | Video append frame 7
00:58.109  render           | Video append frame 8
00:58.140  render           | Video append frame 9
00:58.156  render           | Video append frame 10
00:58.187  render           | Video append frame 11
00:58.203  render           | Video append frame 12
00:58.218  render           | Video append frame 13
00:58.250  render           | Video append frame 14
00:58.265  render           | Video append frame 15
00:58.281  render           | Video append frame 16
00:58.296  render           | Video append frame 17
00:58.328  render           | Video append frame 18
00:58.343  render           | Video append frame 19
