tick,unit,action,ordinal,state,release_tick,window
690,1048581,222,22,3,696,1
693,7,224,27,3,699,0
693,1048584,223,27,3,699,0
698,1,225,31,3,703,0
698,1048580,226,31,3,703,0
716,1,227,32,3,721,1
716,1048580,228,32,3,721,1
719,2,231,23,3,725,0
719,1048581,232,23,3,725,0
724,1048582,233,16,3,729,1
732,7,235,28,3,738,1
732,1048584,234,28,3,738,1
738,3,236,22,3,743,1
757,7,243,29,3,763,0
757,1048584,242,29,3,763,0
762,1,244,33,3,767,0
762,1048580,245,33,3,767,0
763,2,246,24,3,769,1
763,1048581,247,24,3,769,1
780,1,248,34,3,785,1
780,1048580,249,34,3,785,1
782,7,251,30,3,788,1
782,1048584,250,30,3,788,1
792,2,253,25,3,798,0
792,1048581,254,25,3,798,0
798,1,255,35,3,803,0
798,1048580,256,35,3,803,0
799,3,257,23,3,804,0
