formation_a,formation_b,star,investment_per_side,seed,swapped,winner,ticks,timeout,survivors_a,survivors_b,events,observed_replay_exact
sustain,sustain,2,30,2,0,1,800,1,1,1,225,1
sustain,sustain,2,30,2,1,1,800,1,1,1,225,1
sustain,sustain,2,30,3,0,1,770,0,0,1,231,1
sustain,sustain,2,30,3,1,1,770,0,0,1,231,1
sustain,sustain,2,30,4,0,0,782,0,1,0,235,1
sustain,sustain,2,30,4,1,0,782,0,1,0,235,1
sustain,sustain,2,30,5,0,0,800,1,1,1,230,1
sustain,sustain,2,30,5,1,0,800,1,1,1,230,1
sustain,sustain,2,30,6,0,-1,782,0,0,0,237,1
sustain,sustain,2,30,6,1,-1,782,0,0,0,237,1
sustain,sustain,2,30,7,0,0,672,0,1,0,226,1
sustain,sustain,2,30,7,1,0,672,0,1,0,226,1
sustain,sustain,2,30,8,0,1,622,0,0,3,220,1
sustain,sustain,2,30,8,1,1,622,0,0,3,220,1
sustain,sustain,3,90,1,0,-1,800,1,1,1,221,1
sustain,sustain,3,90,1,1,-1,800,1,1,1,221,1
sustain,sustain,3,90,2,0,1,800,1,1,1,225,1
sustain,sustain,3,90,2,1,1,800,1,1,1,225,1
sustain,sustain,3,90,3,0,1,770,0,0,1,230,1
sustain,sustain,3,90,3,1,1,770,0,0,1,230,1
sustain,sustain,3,90,4,0,0,782,0,1,0,235,1
sustain,sustain,3,90,4,1,0,782,0,1,0,235,1
sustain,sustain,3,90,5,0,0,800,1,1,1,230,1
sustain,sustain,3,90,5,1,0,800,1,1,1,230,1
sustain,sustain,3,90,6,0,-1,782,0,0,0,237,1
sustain,sustain,3,90,6,1,-1,782,0,0,0,237,1
sustain,sustain,3,90,7,0,0,748,0,1,0,234,1
sustain,sustain,3,90,7,1,0,748,0,1,0,234,1
sustain,sustain,3,90,8,0,1,576,0,0,4,214,1
sustain,sustain,3,90,8,1,1,576,0,0,4,214,1
sustain,spread_ranged,1,10,1,0,1,403,0,0,4,145,1
sustain,spread_ranged,1,10,1,1,0,463,0,4,0,159,1
sustain,spread_ranged,1,10,2,0,1,463,0,0,4,159,1
sustain,spread_ranged,1,10,2,1,0,415,0,4,0,149,1
sustain,spread_ranged,1,10,3,0,1,416,0,0,4,147,1
sustain,spread_ranged,1,10,3,1,0,457,0,3,0,159,1
sustain,spread_ranged,1,10,4,0,1,463,0,0,4,159,1
sustain,spread_ranged,1,10,4,1,0,453,0,3,0,164,1
sustain,spread_ranged,1,10,5,0,1,463,0,0,4,161,1
sustain,spread_ranged,1,10,5,1,0,403,0,4,0,144,1
sustain,spread_ranged,1,10,6,0,1,472,0,0,4,159,1
sustain,spread_ranged,1,10,6,1,0,453,0,3,0,164,1
sustain,spread_ranged,1,10,7,0,1,466,0,0,4,159,1
sustain,spread_ranged,1,10,7,1,0,424,0,4,0,149,1
sustain,spread_ranged,1,10,8,0,1,416,0,0,4,148,1
sustain,spread_ranged,1,10,8,1,0,479,0,3,0,164,1
sustain,spread_ranged,2,30,1,0,1,403,0,0,4,145,1
sustain,spread_ranged,2,30,1,1,0,466,0,3,0,161,1
sustain,spread_ranged,2,30,2,0,1,463,0,0,4,160,1
