seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
448,41,1740900,175550,1365350,200000,0,180,20,24,25,0
449,42,1884200,172100,1507100,205000,0,186,38,24,24,0
450,45,2032050,192750,1619300,220000,1,187,40,24,25,0
451,43,1874550,154650,1509900,210000,0,185,27,23,24,0
452,39,1754000,179950,1384050,190000,0,182,26,24,29,0
453,42,1868200,163100,1500100,205000,0,193,34,24,27,0
454,43,1874500,196150,1468350,210000,0,189,14,24,24,0
455,45,2017600,178750,1618850,220000,1,182,32,24,23,0
456,42,1807750,170600,1432150,205000,0,187,19,24,27,0
457,44,1974550,200200,1559350,215000,0,187,27,24,24,0
458,41,1739000,156050,1382950,200000,0,180,15,24,27,0
