seed,round,pvp_round_index,kind,wave_id,seat_a,seat_b,winner,ticks,timeout,survivors_a,survivors_b
2,12,7,0,,1,5,0,726,0,2,0
2,12,7,0,,2,7,1,686,0,0,5
2,12,7,0,,3,4,0,333,0,6,0
2,13,8,0,,0,3,1,301,0,0,6
2,13,8,0,,1,4,0,738,0,3,0
2,13,8,0,,2,6,1,800,1,1,1
2,13,8,0,,5,7,1,503,0,0,4
2,14,9,0,,0,6,1,638,0,0,3
2,14,9,0,,1,7,1,676,0,0,5
2,14,9,0,,2,5,1,629,0,0,3
2,14,9,0,,3,4,0,404,0,4,0
2,15,9,2,wc_wave_15,0,-1,0,338,0,4,0
2,15,9,2,wc_wave_15,1,-1,0,324,0,5,0
2,15,9,2,wc_wave_15,2,-1,0,554,0,4,0
2,15,9,2,wc_wave_15,3,-1,0,187,0,6,0
2,15,9,2,wc_wave_15,4,-1,0,416,0,5,0
2,15,9,2,wc_wave_15,5,-1,0,302,0,5,0
2,15,9,2,wc_wave_15,6,-1,0,290,0,5,0
2,15,9,2,wc_wave_15,7,-1,0,309,0,5,0
2,16,10,0,,0,1,1,526,0,0,4
2,16,10,0,,2,7,1,409,0,0,6
2,16,10,0,,3,6,0,366,0,5,0
2,16,10,0,,4,5,1,556,0,0,5
2,17,11,1,,5,3,1,366,0,0,4
2,17,11,0,,0,2,0,456,0,3,0
2,17,11,0,,1,3,1,421,0,0,5
2,17,11,0,,6,7,1,322,0,0,6
2,18,12,1,,6,5,1,426,0,0,3
2,18,12,0,,0,7,1,387,0,0,5
2,18,12,0,,1,5,1,635,0,0,1
2,18,12,0,,2,3,1,354,0,0,5
2,19,13,1,,7,3,0,544,0,3,0
2,19,13,0,,1,6,0,680,0,3,0
2,19,13,0,,3,5,0,535,0,3,0
2,20,13,2,wc_wave_20,1,-1,1,649,0,0,1
2,20,13,2,wc_wave_20,3,-1,0,356,0,4,0
2,20,13,2,wc_wave_20,5,-1,0,402,0,2,0
2,20,13,2,wc_wave_20,6,-1,1,511,0,0,1
2,20,13,2,wc_wave_20,7,-1,0,340,0,5,0
2,21,14,1,,1,5,1,487,0,0,5
2,21,14,0,,3,6,0,469,0,4,0
2,21,14,0,,5,7,1,412,0,0,5
2,22,15,0,,1,7,1,462,0,0,6
2,22,15,0,,3,5,0,445,0,4,0
2,23,16,0,,3,7,1,641,0,0,1
2,24,17,0,,3,7,1,575,0,0,2
2,25,17,2,wc_wave_25,3,-1,0,498,0,3,0
2,25,17,2,wc_wave_25,7,-1,0,360,0,4,0
2,26,18,0,,3,7,0,727,0,1,0
2,27,19,0,,3,7,1,550,0,0,2
2,28,20,0,,3,7,1,600,0,0,2
2,29,21,0,,3,7,0,727,0,1,0
2,30,21,2,wc_wave_30,3,-1,0,472,0,2,0
2,30,21,2,wc_wave_30,7,-1,0,397,0,3,0
2,31,22,0,,3,7,1,597,0,0,2
2,32,23,0,,3,7,1,663,0,0,1
2,33,24,0,,3,7,1,672,0,0,1
2,34,25,0,,3,7,1,619,0,0,1
3,1,0,2,wc_wave_01,0,-1,0,82,0,4,0
3,1,0,2,wc_wave_01,1,-1,0,80,0,4,0
3,1,0,2,wc_wave_01,2,-1,0,73,0,4,0
3,1,0,2,wc_wave_01,3,-1,0,63,0,4,0
3,1,0,2,wc_wave_01,4,-1,0,83,0,4,0
3,1,0,2,wc_wave_01,5,-1,0,84,0,4,0
3,1,0,2,wc_wave_01,6,-1,0,82,0,4,0
3,1,0,2,wc_wave_01,7,-1,0,73,0,4,0
3,2,0,2,wc_wave_02,0,-1,0,114,0,4,0
3,2,0,2,wc_wave_02,1,-1,0,98,0,4,0
3,2,0,2,wc_wave_02,2,-1,0,98,0,4,0
3,2,0,2,wc_wave_02,3,-1,0,97,0,4,0
3,2,0,2,wc_wave_02,4,-1,0,111,0,4,0
3,2,0,2,wc_wave_02,5,-1,0,124,0,4,0
3,2,0,2,wc_wave_02,6,-1,0,92,0,4,0
3,2,0,2,wc_wave_02,7,-1,0,127,0,4,0
3,3,0,2,wc_wave_03,0,-1,0,210,0,5,0
3,3,0,2,wc_wave_03,1,-1,0,119,0,5,0
3,3,0,2,wc_wave_03,2,-1,0,117,0,5,0
3,3,0,2,wc_wave_03,3,-1,0,105,0,5,0
3,3,0,2,wc_wave_03,4,-1,0,135,0,5,0
3,3,0,2,wc_wave_03,5,-1,0,157,0,5,0
3,3,0,2,wc_wave_03,6,-1,0,117,0,5,0
3,3,0,2,wc_wave_03,7,-1,0,138,0,5,0
3,4,1,0,,0,5,0,749,0,3,0
3,4,1,0,,1,7,1,427,0,0,5
3,4,1,0,,2,3,0,613,0,5,0
