wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
8.184322,0,4,5,0,0,16.666702,2.213500,3.658500,16.818100,1,7937,7937,0,0
8.202873,0,4,5,0,0,16.666800,2.464500,3.822300,16.778299,1,7937,7937,0,0
8.217806,0,4,5,0,0,16.666998,4.393700,3.890900,18.603001,1,7937,7937,0,0
8.234424,0,4,5,0,0,16.666800,2.634900,3.517300,14.628900,1,7937,7937,0,0
8.251042,0,4,5,0,0,16.666901,2.202700,4.375000,16.771000,1,7937,7937,0,0
8.267749,0,4,5,0,0,16.667002,2.311200,3.410500,16.394300,1,7937,7937,0,0
8.284336,0,4,5,0,0,16.666800,2.720800,4.252900,16.796600,1,7937,7937,0,0
8.301051,0,4,5,0,0,16.666698,2.444400,3.872600,16.584700,1,7937,7937,0,0
8.325777,1,4,5,40,4,16.667002,4.179100,3.752500,18.698299,1,34167,34167,0,0
8.365526,1,4,10,40,4,47.777298,47.686901,3.752500,18.698299,1,34167,34167,0,0
8.382232,1,4,10,40,4,16.666702,3.242200,4.077300,8.454100,1,34167,34167,0,0
8.398956,1,4,10,40,4,16.666698,7.379800,5.155300,16.082899,1,30211,30211,0,0
8.415533,1,4,10,40,4,16.666800,5.582000,4.397900,12.117000,1,30211,30211,0,0
8.439206,1,4,10,40,4,16.666901,2.182500,4.523500,16.128000,1,35645,35645,0,0
8.448946,1,4,10,40,4,16.666901,9.502800,4.522400,24.061001,1,35645,35645,0,0
8.465666,1,4,10,40,4,16.666998,2.640300,4.499600,9.686000,1,35645,35645,0,0
8.482232,1,4,10,40,4,16.666901,2.742100,3.668500,16.630800,1,35645,35645,0,0
8.498860,1,4,10,40,4,16.666901,2.411700,3.652800,16.452600,1,35645,35645,0,0
8.515670,1,4,10,40,4,16.666901,2.332200,3.743700,16.568300,1,35645,35645,0,0
8.536522,1,4,10,40,4,16.667002,2.116900,4.333600,16.874500,1,38623,38623,0,0
8.548853,1,4,10,40,4,16.666800,7.497300,3.629400,22.047701,1,38623,38623,0,0
8.565564,1,4,10,40,4,16.667002,2.324000,3.434900,11.052100,1,38623,38623,0,0
8.582307,1,4,10,40,4,16.666998,2.114800,4.061000,16.758699,1,38623,38623,0,0
8.598922,1,4,10,40,4,16.701002,2.309900,3.589900,16.988199,1,38623,38623,0,0
8.615594,1,4,10,40,4,16.666698,2.721000,3.343800,16.309299,1,38623,38623,0,0
8.637524,1,4,10,40,4,16.666901,2.020000,4.000500,16.750500,1,40662,40662,0,0
8.785673,1,4,10,38,4,147.537094,12.033700,0.433000,26.926100,1,44159,44159,0,0
8.939440,1,4,10,38,4,153.730698,123.399200,0.429200,145.817596,1,41694,41694,0,0
