C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_dragonkin.py:56: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat = bpy.data.materials.new('M_' + UID); mat.use_nodes = True
01:45.157  render           | Video append frame 27
01:45.172  render           | Video append frame 28
01:45.188  render           | Video append frame 29
01:45.219  render           | Video append frame 30
01:45.235  render           | Video append frame 31
01:45.250  render           | Video append frame 32
01:45.297  render           | Video append frame 33
01:45.313  render           | Video append frame 34
01:45.360  render           | Video append frame 35
01:45.375  render           | Video append frame 36
01:45.407  render           | Video append frame 37
01:45.422  render           | Video append frame 38
01:45.438  render           | Video append frame 39
01:45.469  render           | Video append frame 40
01:45.485  render           | Video append frame 41
01:45.500  render           | Video append frame 42
01:45.532  render           | Video append frame 43
01:45.547  render           | Video append frame 44
01:45.563  render           | Video append frame 45
01:45.594  render           | Video append frame 46
01:45.610  render           | Video append frame 47
01:45.625  render           | Video append frame 48
01:45.657  render           | Video append frame 49
01:45.672  render           | Video append frame 50
01:45.688  render           | Video append frame 51
01:45.719  render           | Video append frame 52
01:45.735  render           | Video append frame 53
01:45.750  render           | Video append frame 54
01:45.782  render           | Video append frame 55
01:45.797  render           | Video append frame 56
01:45.813  render           | Video append frame 57
01:45.844  render           | Video append frame 58
01:45.860  render           | Video append frame 59
01:45.875  render           | Video append frame 60
01:45.891  render           | Video append frame 61
01:45.938  render           | Video append frame 1
01:45.953  render           | Video append frame 2
01:45.969  render           | Video append frame 3
01:46.000  render           | Video append frame 4
01:46.016  render           | Video append frame 5
01:46.047  render           | Video append frame 6
01:46.063  render           | Video append frame 7
01:46.078  render           | Video append frame 8
01:46.110  render           | Video append frame 9
01:46.125  render           | Video append frame 10
01:46.141  render           | Video append frame 11
01:46.172  render           | Video append frame 12
01:46.188  render           | Video append frame 13
01:46.203  render           | Video append frame 14
01:46.219  render           | Video append frame 15
01:46.250  render           | Video append frame 16
01:46.266  render           | Video append frame 17
01:46.282  render           | Video append frame 18
01:46.313  render           | Video append frame 19
01:46.328  render           | Video append frame 20
01:46.344  render           | Video append frame 21
01:46.360  render           | Video append frame 22
01:46.391  render           | Video append frame 23
01:46.407  render           | Video append frame 24
01:46.422  render           | Video append frame 25
01:46.453  render           | Video append frame 26
01:46.469  render           | Video append frame 27
01:46.485  render           | Video append frame 28
01:46.516  render           | Video append frame 29
01:46.532  render           | Video append frame 30
