wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
16.001424,0,1,0,0,0,7.965401,2.667800,7.948700,7.300100,1
16.008685,0,1,0,0,0,6.462999,2.803400,6.330300,6.866000,1
16.014260,0,1,0,0,0,6.449800,3.498700,6.491100,7.077900,1
16.021027,0,1,0,0,0,6.646801,2.207100,6.594000,6.194100,1
16.027676,0,1,0,0,0,6.625500,2.635200,6.212700,6.775800,1
16.036493,0,1,0,0,0,8.950300,2.539200,8.884800,7.792700,1
16.043132,0,1,0,0,0,6.588399,2.347200,6.508700,7.735300,1
16.050956,0,1,0,0,0,7.860400,2.554900,7.850900,6.349800,1
16.056332,0,1,0,0,0,5.319700,2.433700,5.362200,6.771700,1
16.063160,0,1,0,0,0,6.823700,2.381900,6.739400,6.873100,1
16.070239,0,1,0,0,0,7.134602,3.209300,7.134700,6.996000,1
16.076776,0,1,0,0,0,6.497200,2.540000,5.817500,6.219700,1
16.084049,0,1,0,0,0,7.327598,3.075400,7.283200,7.491500,1
16.090430,0,1,0,0,0,6.253801,2.611700,6.213400,7.001100,1
16.099292,0,1,0,0,0,8.583200,2.476900,8.475800,7.552000,1
16.104405,0,1,0,0,0,5.208403,3.431600,5.128600,6.243400,1
16.112419,0,1,0,0,0,7.422898,3.123700,7.424300,6.741000,1
16.118398,0,1,0,0,0,6.835602,4.263400,6.831800,6.700000,1
16.124828,0,1,0,0,0,6.352000,3.319300,6.296500,6.515700,1
16.132212,0,1,0,0,0,7.490199,2.673300,7.424500,6.945800,1
16.138641,0,1,0,0,0,6.379697,2.386700,6.266800,7.033800,1
16.146932,0,1,0,0,0,8.333001,2.497500,8.261600,7.861300,1
16.155086,0,1,0,0,0,8.084301,3.190600,8.058500,8.467500,1
16.163591,0,1,0,0,0,8.533701,2.503000,8.517000,8.371100,1
16.171445,0,1,0,0,0,7.849697,2.524500,7.876500,8.113100,1
16.179498,0,1,0,0,0,7.968303,3.004100,7.899700,8.080400,1
16.189255,0,1,0,0,0,9.909097,2.698100,9.818200,9.216000,1
16.195829,0,1,0,0,0,6.528501,2.766400,6.502200,7.352300,1
16.206087,0,1,0,0,0,10.315600,2.409200,10.275800,9.447400,1
16.215117,0,1,0,0,0,8.292999,2.360200,8.239600,9.093200,1
16.224108,0,1,0,0,0,9.734902,2.988900,9.661500,9.708500,1
16.232896,0,1,0,0,0,8.673496,2.238000,8.719500,8.848400,1
16.242470,0,1,0,0,0,9.601701,2.654000,9.481700,9.431000,1
16.251335,0,1,0,0,0,8.903801,2.523100,8.944600,8.807400,1
16.261035,0,1,0,0,0,9.657801,2.465600,9.624400,9.792600,1
16.269369,0,1,0,0,0,8.409098,2.347400,8.388700,7.450600,1
16.277026,0,1,0,0,0,7.641401,2.649700,7.593900,9.089000,1
