experiment,seed,round,seat,winner,timeout,health_after,damage,reward
5,6,5,0,0,0,60,0,2
5,6,5,1,0,0,53,0,2
5,6,5,2,0,0,55,0,2
5,6,5,3,0,0,60,0,2
5,6,5,4,0,0,56,0,2
5,6,5,5,0,0,60,0,2
5,6,5,6,0,0,53,0,2
5,6,5,7,0,0,60,0,2
5,6,10,0,0,0,60,0,2
5,6,10,1,0,0,41,0,2
5,6,10,2,0,0,32,0,2
5,6,10,3,0,0,49,0,2
5,6,10,4,0,0,50,0,2
5,6,10,5,0,0,54,0,2
5,6,10,6,0,0,26,0,2
5,6,10,7,0,0,51,0,2
5,6,15,0,0,0,60,0,2
5,6,15,1,0,0,25,0,2
5,6,15,2,0,0,15,0,2
5,6,15,3,0,0,26,0,2
5,6,15,4,0,0,25,0,2
5,6,15,5,0,0,54,0,2
5,6,15,7,0,0,46,0,2
5,6,20,0,0,0,55,0,2
5,6,20,3,1,0,4,2,0
5,6,20,4,1,0,10,2,0
5,6,20,5,0,0,44,0,2
5,6,20,7,0,0,40,0,2
5,6,25,0,0,0,55,0,2
5,6,25,5,0,0,8,0,2
5,6,25,7,1,1,19,2,0
5,6,30,0,0,0,38,0,2
5,6,30,5,0,0,8,0,2
5,7,1,0,0,0,60,0,2
5,7,1,1,0,0,60,0,2
5,7,1,2,0,0,60,0,2
5,7,1,3,0,0,60,0,2
5,7,1,4,0,0,60,0,2
5,7,1,5,0,0,60,0,2
5,7,1,6,0,0,60,0,2
5,7,1,7,0,0,60,0,2
5,7,2,0,0,0,60,0,2
5,7,2,1,0,0,60,0,2
5,7,2,2,0,0,60,0,2
5,7,2,3,0,0,60,0,2
5,7,2,4,0,0,60,0,2
5,7,2,5,0,0,60,0,2
5,7,2,6,0,0,60,0,2
5,7,2,7,0,0,60,0,2
5,7,3,0,0,0,60,0,2
5,7,3,1,0,0,60,0,2
5,7,3,2,0,0,60,0,2
5,7,3,3,0,0,60,0,2
5,7,3,4,0,0,60,0,2
5,7,3,5,0,0,60,0,2
5,7,3,6,0,0,60,0,2
5,7,3,7,0,0,60,0,2
5,7,5,0,0,0,55,0,2
5,7,5,1,0,0,54,0,2
5,7,5,2,0,0,60,0,2
5,7,5,3,0,0,54,0,2
5,7,5,4,0,0,60,0,2
5,7,5,5,0,0,60,0,2
5,7,5,6,0,0,56,0,2
5,7,5,7,0,0,60,0,2
5,7,10,0,0,0,52,0,2
5,7,10,1,0,0,37,0,2
5,7,10,2,0,0,55,0,2
5,7,10,3,0,0,40,0,2
5,7,10,4,0,0,43,0,2
5,7,10,5,0,0,55,0,2
5,7,10,6,0,0,40,0,2
5,7,10,7,0,0,54,0,2
5,7,15,0,0,0,40,0,2
5,7,15,1,0,0,34,0,2
5,7,15,2,0,0,48,0,2
