seed,round,definition,star,effect,events
1,9,wc_u_halfling_warrior,2,2,8
1,9,wc_u_human_guardian,2,2,6
1,9,wc_u_orc_guardian,2,2,8
1,9,wc_u_orc_mage,1,0,9
1,9,wc_u_orc_warrior,1,5,1
1,10,wc_n_prowler,1,4,2
1,10,wc_n_stoneback,1,2,1
1,10,wc_n_wisp,1,0,1
1,10,wc_u_elf_ranger,2,4,1
1,10,wc_u_halfling_ranger,2,5,2
1,10,wc_u_halfling_warrior,2,2,2
1,10,wc_u_human_guardian,2,2,2
1,10,wc_u_orc_warrior,2,5,3
1,10,wc_n_prowler,1,4,2
1,10,wc_n_stoneback,1,2,1
1,10,wc_n_wisp,1,0,1
1,10,wc_u_elf_rogue,1,4,2
1,10,wc_u_halfling_rogue,2,3,2
1,10,wc_u_halfling_warrior,2,2,2
1,10,wc_u_human_warrior,1,0,1
1,10,wc_u_orc_rogue,1,4,1
1,10,wc_u_orc_warrior,1,5,1
1,10,wc_n_prowler,1,4,2
1,10,wc_n_wisp,1,0,2
1,10,wc_u_dwarf_guardian,2,3,2
1,10,wc_u_dwarf_warrior,1,0,1
1,10,wc_u_elf_ranger,2,4,2
1,10,wc_u_halfling_warrior,2,2,2
1,10,wc_u_human_guardian,1,2,2
1,10,wc_u_human_priest,2,1,2
1,10,wc_n_prowler,1,4,2
1,10,wc_n_wisp,1,0,1
1,10,wc_u_dwarf_guardian,2,3,1
1,10,wc_u_dwarf_ranger,1,0,2
1,10,wc_u_dwarf_warrior,2,0,2
1,10,wc_u_halfling_warrior,2,2,3
1,10,wc_u_human_warrior,1,0,1
1,10,wc_n_prowler,1,4,2
1,10,wc_n_wisp,1,0,1
1,10,wc_u_dwarf_guardian,1,3,1
1,10,wc_u_dwarf_ranger,1,0,2
1,10,wc_u_halfling_ranger,2,5,1
1,10,wc_u_human_guardian,2,2,1
1,10,wc_u_human_warrior,1,0,2
1,10,wc_n_prowler,1,4,3
1,10,wc_n_stoneback,1,2,1
1,10,wc_n_wisp,1,0,1
1,10,wc_u_dragonkin_guardian,2,2,2
1,10,wc_u_dwarf_warrior,1,0,2
1,10,wc_u_halfling_ranger,2,5,2
1,10,wc_u_halfling_warrior,2,2,2
1,10,wc_u_orc_guardian,2,2,3
1,10,wc_u_orc_warrior,2,5,2
1,10,wc_n_prowler,1,4,2
1,10,wc_n_stoneback,1,2,1
1,10,wc_n_wisp,1,0,1
1,10,wc_u_dwarf_guardian,1,3,2
1,10,wc_u_dwarf_warrior,1,0,1
1,10,wc_u_halfling_mage,2,0,1
1,10,wc_u_human_guardian,2,2,2
1,10,wc_u_orc_mage,1,0,3
1,10,wc_u_orc_warrior,1,5,1
1,10,wc_n_prowler,1,4,2
1,10,wc_n_wisp,1,0,2
1,10,wc_u_dwarf_guardian,2,3,2
1,10,wc_u_halfling_ranger,2,5,2
1,10,wc_u_halfling_warrior,2,2,4
1,10,wc_u_human_guardian,2,2,2
1,10,wc_u_orc_guardian,2,2,4
1,11,wc_u_dwarf_guardian,2,3,3
1,11,wc_u_elf_ranger,2,4,1
1,11,wc_u_halfling_ranger,2,5,10
1,11,wc_u_halfling_warrior,2,2,10
1,11,wc_u_human_guardian,2,2,8
1,11,wc_u_orc_guardian,2,2,7
1,11,wc_u_orc_warrior,2,5,5
1,11,wc_u_dragonkin_guardian,2,2,2
1,11,wc_u_dwarf_warrior,1,0,3
1,11,wc_u_elf_rogue,1,4,1
1,11,wc_u_halfling_ranger,2,5,2
1,11,wc_u_halfling_rogue,2,3,2
1,11,wc_u_halfling_warrior,2,2,5
1,11,wc_u_human_warrior,1,0,2
1,11,wc_u_orc_guardian,2,2,3
1,11,wc_u_orc_rogue,1,4,1
1,11,wc_u_orc_warrior,1,5,1
1,11,wc_u_orc_warrior,2,5,2
1,11,wc_u_dwarf_guardian,1,3,3
1,11,wc_u_dwarf_guardian,2,3,3
1,11,wc_u_dwarf_warrior,1,0,6
1,11,wc_u_halfling_mage,2,0,8
1,11,wc_u_halfling_rogue,2,3,2
1,11,wc_u_halfling_warrior,2,2,1
1,11,wc_u_human_guardian,1,2,3
1,11,wc_u_human_guardian,2,2,4
1,11,wc_u_human_priest,2,1,5
1,11,wc_u_orc_mage,1,0,12
1,11,wc_u_orc_warrior,1,5,1
1,11,wc_u_dwarf_guardian,1,3,3
1,11,wc_u_dwarf_guardian,2,3,2
1,11,wc_u_dwarf_ranger,1,0,11
1,11,wc_u_dwarf_warrior,2,0,4
1,11,wc_u_halfling_mage,2,0,6
1,11,wc_u_halfling_ranger,2,5,5
1,11,wc_u_halfling_warrior,2,2,5
1,11,wc_u_human_guardian,2,2,2
1,11,wc_u_human_warrior,1,0,3
1,12,wc_u_dwarf_guardian,2,3,3
1,12,wc_u_dwarf_ranger,1,0,6
1,12,wc_u_dwarf_warrior,2,0,5
1,12,wc_u_elf_ranger,2,4,2
1,12,wc_u_halfling_ranger,2,5,5
1,12,wc_u_halfling_warrior,2,2,8
1,12,wc_u_human_guardian,2,2,2
1,12,wc_u_human_warrior,1,0,1
1,12,wc_u_orc_warrior,2,5,4
1,12,wc_u_dwarf_guardian,1,3,4
1,12,wc_u_dwarf_ranger,1,0,3
1,12,wc_u_elf_rogue,1,4,2
1,12,wc_u_halfling_mage,2,0,5
1,12,wc_u_halfling_ranger,2,5,2
1,12,wc_u_halfling_rogue,2,3,2
1,12,wc_u_halfling_warrior,2,2,1
1,12,wc_u_human_guardian,2,2,1
1,12,wc_u_human_warrior,1,0,5
1,12,wc_u_orc_rogue,1,4,1
1,12,wc_u_orc_warrior,1,5,1
1,12,wc_u_dwarf_guardian,2,3,11
1,12,wc_u_dwarf_warrior,1,0,7
1,12,wc_u_halfling_ranger,2,5,5
1,12,wc_u_halfling_rogue,2,3,5
1,12,wc_u_halfling_warrior,2,2,8
1,12,wc_u_human_guardian,1,2,4
1,12,wc_u_human_guardian,2,2,5
1,12,wc_u_human_priest,2,1,3
1,12,wc_u_orc_guardian,2,2,9
1,12,wc_u_dragonkin_guardian,2,2,3
1,12,wc_u_dwarf_guardian,1,3,3
1,12,wc_u_dwarf_warrior,1,0,4
1,12,wc_u_halfling_mage,2,0,8
1,12,wc_u_halfling_ranger,2,5,3
1,12,wc_u_halfling_warrior,2,2,5
1,12,wc_u_human_guardian,2,2,1
1,12,wc_u_orc_guardian,2,2,5
1,12,wc_u_orc_mage,1,0,7
1,12,wc_u_orc_warrior,1,5,1
1,12,wc_u_orc_warrior,2,5,3
1,13,wc_u_dragonkin_guardian,2,2,1
1,13,wc_u_elf_ranger,2,4,2
1,13,wc_u_halfling_ranger,2,5,7
1,13,wc_u_halfling_warrior,2,2,9
1,13,wc_u_human_guardian,2,2,1
1,13,wc_u_orc_guardian,2,2,7
1,13,wc_u_orc_warrior,2,5,7
1,13,wc_u_dwarf_guardian,2,3,5
1,13,wc_u_elf_rogue,1,4,2
1,13,wc_u_halfling_ranger,2,5,3
1,13,wc_u_halfling_rogue,2,3,3
1,13,wc_u_halfling_warrior,2,2,6
1,13,wc_u_human_guardian,2,2,3
1,13,wc_u_human_warrior,1,0,3
1,13,wc_u_orc_guardian,2,2,8
1,13,wc_u_orc_rogue,1,4,2
1,13,wc_u_dwarf_guardian,1,3,2
1,13,wc_u_dwarf_guardian,2,3,2
1,13,wc_u_dwarf_ranger,1,0,6
1,13,wc_u_dwarf_warrior,1,0,2
1,13,wc_u_halfling_mage,2,0,10
1,13,wc_u_halfling_ranger,2,5,5
1,13,wc_u_halfling_rogue,2,3,2
1,13,wc_u_halfling_warrior,2,2,3
1,13,wc_u_human_guardian,1,2,4
1,13,wc_u_human_guardian,2,2,2
1,13,wc_u_human_priest,2,1,5
1,13,wc_u_human_warrior,1,0,2
1,13,wc_u_dwarf_guardian,1,3,3
1,13,wc_u_dwarf_guardian,2,3,2
1,13,wc_u_dwarf_ranger,1,0,4
1,13,wc_u_dwarf_warrior,1,0,2
1,13,wc_u_dwarf_warrior,2,0,2
1,13,wc_u_halfling_mage,2,0,7
1,13,wc_u_halfling_warrior,2,2,6
1,13,wc_u_human_guardian,2,2,2
1,13,wc_u_human_warrior,1,0,3
1,13,wc_u_orc_mage,1,0,4
1,14,wc_u_dwarf_guardian,2,3,3
1,14,wc_u_dwarf_warrior,1,0,3
1,14,wc_u_elf_ranger,2,4,1
1,14,wc_u_halfling_ranger,2,5,4
1,14,wc_u_halfling_rogue,2,3,4
1,14,wc_u_halfling_warrior,2,2,6
1,14,wc_u_human_guardian,1,2,3
1,14,wc_u_human_guardian,2,2,3
1,14,wc_u_human_priest,2,1,3
1,14,wc_u_orc_warrior,2,5,4
1,14,wc_u_dwarf_guardian,1,3,5
1,14,wc_u_dwarf_warrior,1,0,2
1,14,wc_u_elf_ranger,2,4,2
1,14,wc_u_elf_rogue,1,4,2
1,14,wc_u_halfling_mage,2,0,4
1,14,wc_u_halfling_rogue,2,3,1
1,14,wc_u_halfling_warrior,2,2,1
1,14,wc_u_human_guardian,2,2,3
1,14,wc_u_human_warrior,1,0,2
1,14,wc_u_orc_mage,1,0,7
1,14,wc_u_orc_warrior,1,5,3
1,14,wc_u_dwarf_guardian,1,3,6
1,14,wc_u_dwarf_guardian,2,3,3
1,14,wc_u_dwarf_ranger,1,0,11
1,14,wc_u_dwarf_warrior,2,0,2
1,14,wc_u_halfling_mage,2,0,7
1,14,wc_u_halfling_ranger,2,5,5
1,14,wc_u_halfling_warrior,2,2,4
1,14,wc_u_human_guardian,2,2,1
1,14,wc_u_human_warrior,1,0,4
1,14,wc_u_dragonkin_guardian,2,2,2
1,14,wc_u_dwarf_guardian,2,3,8
1,14,wc_u_halfling_ranger,2,5,10
